Município,Quantidade_SUS,Quantidade_Não_SUS
150307 GARRAFAO DO NORTE,18,-
150309 GOIANESIA DO PARA,24,-
150310 GURUPA,23,-
150320 IGARAPE-ACU,45,-
150330 IGARAPE-MIRI,129,9
150340 INHANGAPI,19,-
150345 IPIXUNA DO PARA,85,-
150350 IRITUIA,30,-
150360 ITAITUBA,188,329
150370 ITUPIRANGA,53,-
150375 JACAREACANGA,24,-
150380 JACUNDA,83,27
150390 JURUTI,87,13
150400 LIMOEIRO DO AJURU,20,-
150405 MAE DO RIO,52,-
150420 MARABA,320,107
150430 MARACANA,27,-
150440 MARAPANIM,18,-
150442 MARITUBA,134,28
150445 MEDICILANDIA,38,-
150450 MELGACO,15,-
150460 MOCAJUBA,27,-
150470 MOJU,50,-
150480 MONTE ALEGRE,54,-
150490 MUANA,42,-
150495 NOVA ESPERANCA DO PIRIA,32,-
150497 NOVA IPIXUNA,15,-
150503 NOVO PROGRESSO,34,8
150506 NOVO REPARTIMENTO,54,-
150510 OBIDOS,63,2
150520 OEIRAS DO PARA,15,-
150530 ORIXIMINA,74,19
150540 OUREM,24,-
150543 OURILANDIA DO NORTE,88,2
150548 PACAJA,32,5
150549 PALESTINA DO PARA,20,-
150550 PARAGOMINAS,137,75
150553 PARAUAPEBAS,140,192
150555 PAU D'ARCO,22,-
150563 PICARRA,27,-
150565 PLACAS,39,-
150570 PONTA DE PEDRAS,20,-
150580 PORTEL,29,-
150590 PORTO DE MOZ,49,-
150600 PRAINHA,33,-
150610 PRIMAVERA,10,-
150613 REDENCAO,192,93
150616 RIO MARIA,31,25
150618 RONDON DO PARA,92,6
150619 RUROPOLIS,29,-
150620 SALINOPOLIS,47,-
150630 SALVATERRA,19,-
150640 SANTA CRUZ DO ARARI,15,-
150650 SANTA IZABEL DO PARA,60,-
150655 SANTA LUZIA DO PARA,16,-
150658 SANTA MARIA DAS BARREIRAS,68,-
150660 SANTA MARIA DO PARA,47,-
150670 SANTANA DO ARAGUAIA,66,-
150680 SANTAREM,394,98
150700 SANTO ANTONIO DO TAUA,74,2
150710 SAO CAETANO DE ODIVELAS,20,-
150715 SAO DOMINGOS DO ARAGUAIA,21,-
150720 SAO DOMINGOS DO CAPIM,31,-
150730 SAO FELIX DO XINGU,98,45
150745 SAO GERALDO DO ARAGUAIA,41,-
150747 SAO JOAO DE PIRABAS,24,-
150750 SAO JOAO DO ARAGUAIA,19,-
150760 SAO MIGUEL DO GUAMA,66,-
150770 SAO SEBASTIAO DA BOA VISTA,32,-
150775 SAPUCAIA,14,-
150780 SENADOR JOSE PORFIRIO,14,-
150790 SOURE,48,-
150795 TAILANDIA,40,-
150797 TERRA SANTA,26,-
150800 TOME-ACU,77,10
150803 TRACUATEUA,15,-
150805 TRAIRAO,21,-
150808 TUCUMA,87,12
150810 TUCURUI,209,97
150812 ULIANOPOLIS,117,1
150815 URUARA,78,3
150820 VIGIA,37,-
150830 VISEU,65,-
150835 VITORIA DO XINGU,43,-
150840 XINGUARA,87,32
160005 SERRA DO NAVIO,30,-
160010 AMAPA,37,-
160015 PEDRA BRANCA DO AMAPARI,15,-
160020 CALCOENE,20,-
160023 FERREIRA GOMES,12,-
160027 LARANJAL DO JARI,85,-
160030 MACAPA,817,130
160040 MAZAGAO,14,-
160050 OIAPOQUE,51,-
160053 PORTO GRANDE,34,-
160060 SANTANA,139,2
160070 TARTARUGALZINHO,18,-
160080 VITORIA DO JARI,8,-
170070 ALVORADA,32,-
170100 ANANAS,8,-
170190 ARAGUACEMA,17,-
170200 ARAGUACU,30,-
170210 ARAGUAINA,455,127
170220 ARAGUATINS,25,-
170230 ARAPOEMA,28,-
170240 ARRAIAS,37,-
170255 AUGUSTINOPOLIS,73,-
170305 BANDEIRANTES DO TOCANTINS,3,-
170370 BREJINHO DE NAZARE,5,-
170550 COLINAS DO TOCANTINS,69,-
170610 CRISTALANDIA,27,-
170700 DIANOPOLIS,39,-
170710 DIVINOPOLIS DO TOCANTINS,27,-
170730 DUERE,5,9
170765 FIGUEIROPOLIS,5,-
170770 FILADELFIA,5,-
170820 FORMOSO DO ARAGUAIA,19,-
170900 GOIATINS,16,-
170930 GUARAI,59,2
170950 GURUPI,132,70
171050 ITACAJA,27,-
171190 LAGOA DA CONFUSAO,30,-
171250 MARIANOPOLIS DO TOCANTINS,2,-
171320 MIRACEMA DO TOCANTINS,71,-
171330 MIRANORTE,20,-
171360 MONTE DO CARMO,5,-
171420 NATIVIDADE,10,-
171575 PALMEIROPOLIS,32,-
171610 PARAISO DO TOCANTINS,75,60
171620 PARANA,24,-
171650 PEDRO AFONSO,31,-
171660 PEIXE,27,-
171670 COLMEIA,21,-
171700 PINDORAMA DO TOCANTINS,6,-
171750 PIUM,42,-
171780 PONTE ALTA DO BOM JESUS,2,-
171790 PONTE ALTA DO TOCANTINS,7,-
171820 PORTO NACIONAL,151,-
172065 SILVANOPOLIS,19,-
172080 SITIO NOVO DO TOCANTINS,16,-
172090 TAGUATINGA,24,-
172100 PALMAS,555,454
172120 TOCANTINOPOLIS,38,-
172210 XAMBIOA,31,-
210005 ACAILANDIA,164,90
210010 AFONSO CUNHA,20,-
210020 ALCANTARA,31,-
210030 ALDEIAS ALTAS,24,-
210043 ALTO ALEGRE DO MARANHAO,50,-
210047 ALTO ALEGRE DO PINDARE,28,-
210050 ALTO PARNAIBA,27,-
210055 AMAPA DO MARANHAO,11,-
210060 AMARANTE DO MARANHAO,86,9
210070 ANAJATUBA,27,-
210080 ANAPURUS,16,-
210083 APICUM-ACU,15,-
210087 ARAGUANA,17,-
210090 ARAIOSES,117,-
210095 ARAME,58,-
210100 ARARI,48,-
210110 AXIXA,25,-
210120 BACABAL,196,11
210125 BACABEIRA,26,-
210130 BACURI,23,-
210140 BALSAS,151,23
210150 BARAO DE GRAJAU,31,-
210160 BARRA DO CORDA,185,30
210170 BARREIRINHAS,53,5
210173 BELAGUA,7,-
210177 BELA VISTA DO MARANHAO,18,-
210180 BENEDITO LEITE,20,-
210190 BEQUIMAO,18,-
210193 BERNARDO DO MEARIM,15,-
210197 BOA VISTA DO GURUPI,15,-
210200 BOM JARDIM,36,-
210203 BOM JESUS DAS SELVAS,22,-
210210 BREJO,37,-
210220 BURITI,27,-
210230 BURITI BRAVO,44,-
210232 BURITICUPU,84,-
210240 CAJAPIO,19,-
210250 CAJARI,20,-
210255 CAMPESTRE DO MARANHAO,21,-
210260 CANDIDO MENDES,21,-
210270 CANTANHEDE,59,-
210275 CAPINZAL DO NORTE,12,1
210280 CAROLINA,43,-
210290 CARUTAPERA,46,-
210300 CAXIAS,371,-
210310 CEDRAL,15,-
210312 CENTRAL DO MARANHAO,15,-
210317 CENTRO NOVO DO MARANHAO,14,-
210320 CHAPADINHA,135,32
210325 CIDELANDIA,21,-
210330 CODO,104,-
210340 COELHO NETO,109,20
210350 COLINAS,134,-
210355 CONCEICAO DO LAGO-ACU,15,-
210360 COROATA,94,-
210370 CURURUPU,103,6
210375 DAVINOPOLIS,14,-
210380 DOM PEDRO,29,-
210390 DUQUE BACELAR,26,-
210400 ESPERANTINOPOLIS,44,-
210405 ESTREITO,53,8
210407 FEIRA NOVA DO MARANHAO,42,-
210408 FERNANDO FALCAO,18,-
210409 FORMOSA DA SERRA NEGRA,13,-
210410 FORTALEZA DOS NOGUEIRAS,31,-
210420 FORTUNA,20,-
210440 GONCALVES DIAS,29,-
210450 GOVERNADOR ARCHER,24,-
210455 GOVERNADOR EDISON LOBAO,33,-
210460 GOVERNADOR EUGENIO BARROS,30,5
210462 GOVERNADOR LUIZ ROCHA,20,-
210465 GOVERNADOR NEWTON BELLO,25,-
210467 GOVERNADOR NUNES FREIRE,200,4
210470 GRACA ARANHA,18,-
210480 GRAJAU,250,2
210490 GUIMARAES,32,4
210500 HUMBERTO DE CAMPOS,30,-
210510 ICATU,30,4
210515 IGARAPE DO MEIO,37,-
210520 IGARAPE GRANDE,37,-
210530 IMPERATRIZ,638,177
210535 ITAIPAVA DO GRAJAU,25,-
210540 ITAPECURU MIRIM,74,-
210542 ITINGA DO MARANHAO,76,-
210545 JATOBA,16,-
210547 JENIPAPO DOS VIEIRAS,20,-
210550 JOAO LISBOA,60,2
210560 JOSELANDIA,22,-
210565 JUNCO DO MARANHAO,3,-
210570 LAGO DA PEDRA,174,47
210580 LAGO DO JUNCO,20,-
210590 LAGO VERDE,45,-
210592 LAGOA DO MATO,23,-
210594 LAGO DOS RODRIGUES,2,-
210596 LAGOA GRANDE DO MARANHAO,19,-
210600 LIMA CAMPOS,38,-
210610 LORETO,20,-
210620 LUIS DOMINGUES,9,-
210630 MAGALHAES DE ALMEIDA,20,-
210632 MARACACUME,11,-
210637 MARANHAOZINHO,18,-
210640 MATA ROMA,23,-
210650 MATINHA,17,-
210660 MATOES,50,-
210663 MATOES DO NORTE,2,-
210667 MILAGRES DO MARANHAO,12,-
210670 MIRADOR,22,-
210675 MIRANDA DO NORTE,44,8
210680 MIRINZAL,17,-
210690 MONCAO,70,-
210700 MONTES ALTOS,24,-
210710 MORROS,34,4
210720 NINA RODRIGUES,24,-
210725 NOVA COLINAS,24,-
210730 NOVA IORQUE,15,-
210735 NOVA OLINDA DO MARANHAO,60,-
210740 OLHO D'AGUA DAS CUNHAS,20,-
210745 OLINDA NOVA DO MARANHAO,42,8
210750 PACO DO LUMIAR,26,-
210760 PALMEIRANDIA,15,2
210770 PARAIBANO,48,-
210780 PARNARAMA,51,-
210790 PASSAGEM FRANCA,90,26
210800 PASTOS BONS,55,-
210805 PAULINO NEVES,20,-
210810 PAULO RAMOS,35,-
210820 PEDREIRAS,138,27
210825 PEDRO DO ROSARIO,36,-
210830 PENALVA,62,-
210840 PERI MIRIM,27,-
210845 PERITORO,58,4
210850 PINDARE-MIRIM,40,-
210860 PINHEIRO,228,8
210870 PIO XII,41,-
210880 PIRAPEMAS,24,-
210890 POCAO DE PEDRAS,29,-
210900 PORTO FRANCO,54,8
210905 PORTO RICO DO MARANHAO,28,-
210910 PRESIDENTE DUTRA,190,4
210920 PRESIDENTE JUSCELINO,15,-
210923 PRESIDENTE MEDICI,24,-
210927 PRESIDENTE SARNEY,15,-
210930 PRESIDENTE VARGAS,22,-
210940 PRIMEIRA CRUZ,19,-
210945 RAPOSA,13,35
210950 RIACHAO,58,-
210955 RIBAMAR FIQUENE,20,-
210960 ROSARIO,113,10
210970 SAMBAIBA,32,-
210975 SANTA FILOMENA DO MARANHAO,17,-
210980 SANTA HELENA,58,-
210990 SANTA INES,210,82
211000 SANTA LUZIA,53,-
211003 SANTA LUZIA DO PARUA,80,-
211010 SANTA QUITERIA DO MARANHAO,42,-
211020 SANTA RITA,35,-
211023 SANTANA DO MARANHAO,16,-
211027 SANTO AMARO DO MARANHAO,20,-
211030 SANTO ANTONIO DOS LOPES,30,-
211040 SAO BENEDITO DO RIO PRETO,32,-
211050 SAO BENTO,49,-
211060 SAO BERNARDO,27,-
211065 SAO DOMINGOS DO AZEITAO,20,-
211070 SAO DOMINGOS DO MARANHAO,46,4
211080 SAO FELIX DE BALSAS,22,-
211085 SAO FRANCISCO DO BREJAO,24,-
211090 SAO FRANCISCO DO MARANHAO,25,-
211100 SAO JOAO BATISTA,50,-
211102 SAO JOAO DO CARU,35,-
211105 SAO JOAO DO PARAISO,20,-
211107 SAO JOAO DO SOTER,20,-
211110 SAO JOAO DOS PATOS,52,2
211120 SAO JOSE DE RIBAMAR,72,34
211125 SAO JOSE DOS BASILIOS,20,-
211130 SAO LUIS,3328,1246
211140 SAO LUIS GONZAGA DO MARANHAO,31,-
211150 SAO MATEUS DO MARANHAO,71,-
211153 SAO PEDRO DA AGUA BRANCA,26,-
211157 SAO PEDRO DOS CRENTES,18,-
211160 SAO RAIMUNDO DAS MANGABEIRAS,57,-
211163 SAO RAIMUNDO DO DOCA BEZERRA,12,-
211170 SAO VICENTE FERRER,56,-
211172 SATUBINHA,34,-
211174 SENADOR ALEXANDRE COSTA,20,-
211176 SENADOR LA ROCQUE,31,-
211178 SERRANO DO MARANHAO,14,-
211180 SITIO NOVO,34,-
211190 SUCUPIRA DO NORTE,22,2
211195 SUCUPIRA DO RIACHAO,16,-
211200 TASSO FRAGOSO,18,-
211210 TIMBIRAS,50,-
211220 TIMON,145,-
211223 TRIZIDELA DO VALE,29,-
211227 TUFILANDIA,30,-
211230 TUNTUM,55,-
211240 TURIACU,52,-
211245 TURILANDIA,30,-
211250 TUTOIA,39,15
211260 URBANO SANTOS,37,-
211270 VARGEM GRANDE,45,-
211280 VIANA,110,-
211285 VILA NOVA DOS MARTIRIOS,31,-
211290 VITORIA DO MEARIM,32,-
211300 VITORINO FREIRE,44,4
211400 ZE DOCA,51,-
220010 AGRICOLANDIA,15,-
220020 AGUA BRANCA,27,-
220025 ALAGOINHA DO PIAUI,12,-
220030 ALTO LONGA,14,-
220040 ALTOS,37,-
220050 AMARANTE,45,-
220060 ANGICAL DO PIAUI,11,-
220070 ANISIO DE ABREU,10,-
220090 AROAZES,6,-
220100 ARRAIAL,4,-
220110 AVELINO LOPES,18,-
220115 BAIXA GRANDE DO RIBEIRO,11,-
220120 BARRAS,70,4
220140 BARRO DURO,21,-
220150 BATALHA,24,-
220160 BENEDITINOS,15,-
220170 BERTOLINIA,4,-
220180 BOCAINA,21,-
220190 BOM JESUS,52,8
220191 BOM PRINCIPIO DO PIAUI,6,-
220196 BRASILEIRA,10,-
220200 BURITI DOS LOPES,42,-
220202 BURITI DOS MONTES,16,-
220220 CAMPO MAIOR,98,103
220225 CANAVIEIRA,4,-
220230 CANTO DO BURITI,27,-
220240 CAPITAO DE CAMPOS,9,-
220250 CARACOL,11,-
220260 CASTELO DO PIAUI,38,-
220270 COCAL,41,-
220277 COLONIA DO PIAUI,7,-
220280 CONCEICAO DO CANINDE,7,-
220290 CORRENTE,52,-
220300 CRISTALANDIA DO PIAUI,25,-
220310 CRISTINO CASTRO,21,-
220320 CURIMATA,34,-
220330 DEMERVAL LOBAO,40,-
220335 DIRCEU ARCOVERDE,7,-
220350 ELESBAO VELOSO,34,-
220360 ELISEU MARTINS,8,-
220370 ESPERANTINA,55,20
220380 FLORES DO PIAUI,2,-
220390 FLORIANO,248,15
220400 FRANCINOPOLIS,14,-
220410 FRANCISCO AYRES,4,-
220420 FRANCISCO SANTOS,14,-
220430 FRONTEIRAS,25,-
220440 GILBUES,9,-
220450 GUADALUPE,34,-
220470 INHUMA,11,-
220480 IPIRANGA DO PIAUI,19,-
220490 ISAIAS COELHO,20,-
220500 ITAINOPOLIS,21,-
220510 ITAUEIRA,26,-
220520 JAICOS,31,4
220530 JERUMENHA,7,-
220540 JOAQUIM PIRES,17,-
220545 JOCA MARQUES,6,-
220550 JOSE DE FREITAS,24,-
220553 JUREMA,13,-
220555 LAGOA ALEGRE,10,-
220560 LANDRI SALES,8,-
220570 LUIS CORREIA,43,-
220580 LUZILANDIA,50,-
220585 MADEIRO,7,-
220590 MANOEL EMIDIO,11,-
220595 MARCOLANDIA,68,9
220600 MARCOS PARENTE,11,-
220610 MATIAS OLIMPIO,15,-
220620 MIGUEL ALVES,20,2
220640 MONSENHOR GIL,13,-
220650 MONSENHOR HIPOLITO,20,-
220660 MONTE ALEGRE DO PIAUI,25,-
220670 NAZARE DO PIAUI,6,-
220680 NOSSA SENHORA DOS REMEDIOS,9,-
220690 NOVO ORIENTE DO PIAUI,8,-
220700 OEIRAS,96,12
220720 PADRE MARCOS,36,-
220730 PAES LANDIM,9,-
220740 PALMEIRA DO PIAUI,12,-
220750 PALMEIRAIS,16,-
220760 PARNAGUA,17,-
220770 PARNAIBA,523,52
220780 PAULISTANA,86,3
220790 PEDRO II,55,21
220800 PICOS,330,86
220810 PIMENTEIRAS,16,-
220820 PIO IX,35,-
220830 PIRACURUCA,65,-
220840 PIRIPIRI,63,13
220850 PORTO,17,-
220855 PORTO ALEGRE DO PIAUI,3,-
220860 PRATA DO PIAUI,16,-
220870 REDENCAO DO GURGUEIA,19,-
220880 REGENERACAO,29,-
220890 RIBEIRO GONCALVES,17,-
220900 RIO GRANDE DO PIAUI,2,-
220910 SANTA CRUZ DO PIAUI,11,-
220920 SANTA FILOMENA,10,-
220937 SANTA ROSA DO PIAUI,8,8
220940 SANTO ANTONIO DE LISBOA,4,-
220950 SANTO INACIO DO PIAUI,7,-
220960 SAO FELIX DO PIAUI,20,-
220970 SAO FRANCISCO DO PIAUI,7,-
220980 SAO GONCALO DO PIAUI,12,-
220990 SAO JOAO DA SERRA,12,-
221000 SAO JOAO DO PIAUI,73,-
221010 SAO JOSE DO PEIXE,6,-
221020 SAO JOSE DO PIAUI,8,-
221030 SAO JULIAO,29,-
221040 SAO MIGUEL DO TAPUIO,26,13
221050 SAO PEDRO DO PIAUI,41,-
221060 SAO RAIMUNDO NONATO,222,3
221070 SIMOES,52,-
221080 SIMPLICIO MENDES,29,-
221090 SOCORRO DO PIAUI,12,-
221100 TERESINA,2195,995
221110 UNIAO,50,-
221120 URUCUI,40,-
221130 VALENCA DO PIAUI,55,-
221140 VARZEA GRANDE,14,-
221170 WALL FERRAZ,19,-
230020 ACARAU,70,4
230030 ACOPIARA,94,-
230040 AIUABA,34,-
230060 ALTANEIRA,19,-
230070 ALTO SANTO,33,-
230075 AMONTADA,44,-
230080 ANTONINA DO NORTE,16,-
230090 APUIARES,13,-
230100 AQUIRAZ,46,92
230110 ARACATI,106,14
230120 ARACOIABA,64,-
230125 ARARENDA,29,-
230130 ARARIPE,42,-
230140 ARATUBA,11,-
230150 ARNEIROZ,20,-
230160 ASSARE,46,-
230170 AURORA,89,-
230180 BAIXIO,19,-
230185 BANABUIU,17,-
230190 BARBALHA,350,89
230195 BARREIRA,21,-
230200 BARRO,23,-
230205 BARROQUINHA,9,-
230210 BATURITE,51,27
230220 BEBERIBE,52,-
230230 BELA CRUZ,33,-
230240 BOA VIAGEM,66,8
230250 BREJO SANTO,244,23
230260 CAMOCIM,95,1
230270 CAMPOS SALES,48,-
230280 CANINDE,118,14
230290 CAPISTRANO,14,-
230300 CARIDADE,21,-
230310 CARIRE,18,-
230320 CARIRIACU,47,-
230330 CARIUS,18,-
230340 CARNAUBAL,16,-
230350 CASCAVEL,44,-
230360 CATARINA,18,-
230365 CATUNDA,20,-
230370 CAUCAIA,154,80
230380 CEDRO,58,-
230390 CHAVAL,23,-
230393 CHORO,16,-
230395 CHOROZINHO,12,-
230400 COREAU,14,-
230410 CRATEUS,162,24
230420 CRATO,221,93
230423 CROATA,41,-
230425 CRUZ,56,-
230426 DEPUTADO IRAPUAN PINHEIRO,12,-
230427 ERERE,9,-
230428 EUSEBIO,54,50
230430 FARIAS BRITO,41,-
230435 FORQUILHA,8,-
230440 FORTALEZA,5692,3280
230445 FORTIM,17,-
230450 FRECHEIRINHA,16,-
230460 GENERAL SAMPAIO,13,-
230470 GRANJA,58,-
230480 GRANJEIRO,25,-
230490 GROAIRAS,19,-
230495 GUAIUBA,20,-
230500 GUARACIABA DO NORTE,60,-
230510 GUARAMIRANGA,11,-
230520 HIDROLANDIA,34,-
230523 HORIZONTE,71,-
230526 IBARETAMA,21,-
230530 IBIAPINA,50,-
230533 IBICUITINGA,7,-
230535 ICAPUI,16,-
230540 ICO,118,-
230550 IGUATU,249,30
230560 INDEPENDENCIA,38,-
230565 IPAPORANGA,18,-
230570 IPAUMIRIM,26,-
230580 IPU,72,81
230590 IPUEIRAS,40,7
230600 IRACEMA,33,-
230610 IRAUCUBA,21,-
230620 ITAICABA,17,-
230625 ITAITINGA,28,-
230630 ITAPAGE,34,2
230640 ITAPIPOCA,148,31
230650 ITAPIUNA,28,-
230655 ITAREMA,44,-
230670 JAGUARETAMA,22,-
230680 JAGUARIBARA,26,-
230690 JAGUARIBE,43,-
230700 JAGUARUANA,38,-
230710 JARDIM,49,-
230720 JATI,33,-
230725 JIJOCA DE JERICOACOARA,20,-
230730 JUAZEIRO DO NORTE,433,79
230740 JUCAS,51,-
230750 LAVRAS DA MANGABEIRA,49,4
230760 LIMOEIRO DO NORTE,141,16
230763 MADALENA,24,-
230765 MARACANAU,262,64
230770 MARANGUAPE,44,60
230780 MARCO,43,-
230790 MARTINOPOLE,12,-
230800 MASSAPE,34,-
230810 MAURITI,54,-
230820 MERUOCA,20,-
230830 MILAGRES,101,3
230835 MILHA,28,-
230837 MIRAIMA,8,-
230840 MISSAO VELHA,68,-
230850 MOMBACA,65,-
230860 MONSENHOR TABOSA,49,-
230870 MORADA NOVA,50,124
230880 MORAUJO,17,-
230890 MORRINHOS,21,-
230900 MUCAMBO,40,-
230910 MULUNGU,9,-
230920 NOVA OLINDA,20,-
230930 NOVA RUSSAS,43,-
230940 NOVO ORIENTE,25,-
230945 OCARA,19,-
230950 OROS,37,-
230960 PACAJUS,53,-
230970 PACATUBA,38,5
230980 PACOTI,20,-
231000 PALHANO,12,-
231010 PALMACIA,16,-
231020 PARACURU,41,-
231025 PARAIPABA,25,-
231030 PARAMBU,49,-
231040 PARAMOTI,28,-
231050 PEDRA BRANCA,51,-
231060 PENAFORTE,22,-
231070 PENTECOSTE,58,-
231080 PEREIRO,25,-
231085 PINDORETAMA,16,-
231090 PIQUET CARNEIRO,32,-
231095 PIRES FERREIRA,21,-
231100 PORANGA,21,-
231110 PORTEIRAS,24,-
231120 POTENGI,18,-
231123 POTIRETAMA,13,-
231126 QUITERIANOPOLIS,29,-
231130 QUIXADA,156,6
231135 QUIXELO,24,-
